id,label,rail_a_score,rail_b_score
ex0001,1,0.9451467526314508,0.7383825064753043
ex0002,1,0.29899988747994066,0.7559925653043852
ex0003,1,0.8140207901672769,0.644212146622518
ex0004,0,0.33241549649995256,0.1031200276710877
ex0005,0,0.7301336849605086,0.7196236326534338
ex0006,1,0.7629059757803778,0.752559728330315
ex0007,0,0.8376318793532129,0.662695528756471
ex0008,1,0.9385262605248692,0.5128719365410622
ex0009,1,0.7360871704952424,0.7717735912031766
ex0010,0,0.150282432843503,0.2533487113864145
ex0011,0,0.40694742706097364,0.17172452867444368
ex0012,0,0.7380105333094112,0.12876512407752053
ex0013,0,0.06852504971924685,0.3183904130983591
ex0014,0,0.7923301384571859,0.7093221167041136
ex0015,0,0.76599555662211,0.6756130181372093
ex0016,1,0.8010205169682527,0.4179142520787162
ex0017,1,0.3405852587040295,0.5147287968617795
ex0018,1,0.7475905930966333,0.861249354597039
ex0019,1,0.5261294340405263,0.14408399859809015
ex0020,1,0.9724781512695317,0.675293598544687
ex0021,0,0.4629480737312285,0.6363101708845953
ex0022,0,0.7281333007394474,0.5794977792895418
ex0023,1,0.3759583993818076,0.8834034743679324
ex0024,0,0.5117935113514542,0.7436545458324468
ex0025,0,0.08694276251254417,0.47612945630602144
ex0026,0,0.17751077448853425,0.40412994335989655
ex0027,0,0.7921166659941169,0.7309271031879915
ex0028,1,0.47633697636818406,0.5974582482252048
ex0029,1,0.9280288529511527,0.748486015969106
ex0030,0,0.4121053745869031,0.6202795943412719
ex0031,0,0.1817416300182972,0.843044910687008
ex0032,0,0.23131027997584233,0.3591937121309652
ex0033,0,0.2535599571504964,0.3963276601027123
ex0034,0,0.5218027165264296,0.5696814310398137
ex0035,1,0.5289111651236915,0.878078045305736
ex0036,0,0.35938336920112224,0.5297733690951831
ex0037,0,0.4833165569574484,0.8336967121529864
ex0038,0,0.5964567232016356,0.47101014947962855
ex0039,1,0.2564544609776126,0.547107942500837
ex0040,0,0.6395370048778731,0.5435776158499469
ex0041,0,0.6942857234877405,0.6789434971037343
ex0042,1,0.41600563785640365,0.8807306945399038
ex0043,0,0.2667066377440733,0.10732248946222307
ex0044,1,0.5567316827458259,0.4629681786813338
ex0045,1,0.6776717625273592,0.8332718544018298
ex0046,1,0.8803451599274356,0.5662740923927286
ex0047,0,0.38664625647599477,0.18416426283083526
ex0048,0,0.7849585319465755,0.714303720944652
ex0049,0,0.507089389550317,0.7268877890620055
ex0050,1,0.8279932378581932,0.809097873211265
ex0051,0,0.14584428805025382,0.19787637118681844
ex0052,1,0.4903830375607641,0.8453083878710846
ex0053,0,0.3120650590163185,0.25600171778958863
ex0054,0,0.08083991477447684,0.43311115087369745
ex0055,0,0.5577732691581625,0.24336592048563382
ex0056,0,0.7081054441055313,0.42701502111620615
ex0057,1,0.5367256589716694,0.7657476226334115
ex0058,0,0.2843772912098579,0.2324013194211812
ex0059,1,0.6441598420562896,0.7756261701826324
ex0060,1,0.9502583939769366,0.844873408508681
ex0061,1,0.5996650383356985,0.5257850960903965
ex0062,1,0.7675038117851469,0.7413554131447694
ex0063,1,0.3637089828963643,0.642508477002024
ex0064,0,0.6633755255377991,0.7174729481088709
ex0065,0,0.37339043657351956,0.4269557376493408
ex0066,0,0.19473019260414295,0.44841054256831475
ex0067,0,0.5229280227900452,0.7861432920322152
ex0068,0,0.5928300523831457,0.8582205795052815
ex0069,1,0.5083315255748544,0.9598314885739015
ex0070,0,0.17264326626436458,0.4441932957497852
ex0071,1,0.7724886312345021,0.8372993836950668
ex0072,0,0.11719840414622522,0.7309833319641705
ex0073,1,0.8150393364941323,0.6851980875517918
ex0074,1,0.5956763362715533,0.49514024869526235
ex0075,0,0.1612757138308731,0.39186594613525755
ex0076,1,0.9520603523701376,0.8942346139880052
ex0077,1,0.8125659616019246,0.6779182312858143
ex0078,1,0.7872237656185953,0.29298378769416056
ex0079,1,0.6832655037400361,0.461922213849827
ex0080,0,0.2794754036158729,0.6951850575189332
ex0081,0,0.024966402373931683,0.13516160913573708
ex0082,1,0.9621842907674018,0.7158198323740054
ex0083,1,0.69779085491361,0.7589248720978782
ex0084,0,0.5749766970905474,0.6579320298745485
ex0085,1,0.6023192438937498,0.5430952402497188
ex0086,1,0.7634013791943397,0.7934077022737799
ex0087,1,0.754897473534445,0.49876775930939765
ex0088,0,0.9393394297673137,0.5342675822762678
ex0089,0,0.3089937862444198,0.292358623749982
ex0090,0,0.17345292622203204,0.7557344498137178
ex0091,0,0.5145757015755089,0.649099696065951
ex0092,1,0.3720616186741438,0.4968721362702714
ex0093,0,0.6164153877937651,0.3738038359487968
ex0094,0,0.3890397685122381,0.2719472114336126
ex0095,0,0.534211098818064,0.7956856158893321
ex0096,1,0.6188327722059174,0.442600025629547
ex0097,0,0.5712607849955506,0.34250978325340725
ex0098,0,0.8652214926629095,0.4757266200674012
ex0099,0,0.06051358882108069,0.9294694663488645
ex0100,0,0.6631735764352235,0.7400414969551588
ex0101,1,0.48696299546647565,0.6775872026380876
ex0102,1,0.8906937276747768,0.830121331288308
ex0103,0,0.2611670872611206,0.8889680883634604
ex0104,0,0.6841402881115437,0.5989818161442896
ex0105,1,0.5206638311454836,0.6957150514789902
ex0106,0,0.2653820780293693,0.766273994873071
ex0107,1,0.8984632249825628,0.7704459230564921
ex0108,1,0.8286485974906675,0.7965117780377223
ex0109,0,0.6726566399922663,0.5411352405990346
ex0110,0,0.37390713150124794,0.894448826504465
ex0111,1,0.34377378148768806,0.9369062811954393
ex0112,1,0.63738125468668,0.7990795453412122
ex0113,0,0.3084788099140203,0.554405594468128
ex0114,1,0.7444338187190852,0.25061354388736895
ex0115,0,0.6266258649970028,0.7319710894420622
ex0116,1,0.45101124151324096,0.6458909509521117
ex0117,1,0.7260466249369786,0.7855763331063165
ex0118,0,0.4518007812450384,0.643279095040162
ex0119,0,0.7969400329523142,0.4267161004974539
ex0120,1,0.8756238148399831,0.19788810565658319
ex0121,0,0.4251253688486881,0.5668491718533057
ex0122,1,0.45899658683298283,0.46499989333611447
ex0123,1,0.852485206848322,0.7313203106306962
ex0124,0,0.24103009055290714,0.2832978981052702
ex0125,1,0.7029737238909682,0.7028247163234844
ex0126,0,0.7327178899877684,0.1585232348782379
ex0127,0,0.2204885151342311,0.7474836999195021
ex0128,0,0.5461193775351477,0.5001710191019854
ex0129,0,0.5075211906926282,0.7670629832571437
ex0130,0,0.5618289260353392,0.8785734157433136
ex0131,1,0.579696719169414,0.6376720210367761
ex0132,1,0.6889873113082682,0.3432487111481598
ex0133,0,0.6137023085983808,0.48815968700384715
ex0134,0,0.39700634747674923,0.21159939215314774
ex0135,1,0.624625089559044,0.5921637255947253
ex0136,0,0.3781163456697427,0.41114755450185303
ex0137,1,0.805170652770859,0.28737443374477756
ex0138,0,0.09663461417436654,0.45481002167252843
ex0139,0,0.33010052873985263,0.12182421026585621
ex0140,1,0.6798117185722623,0.8575178806098973
ex0141,1,0.48742895805191166,0.6154354876450008
ex0142,1,0.8405862698127398,0.7503610730837946
ex0143,0,0.2673278200944462,0.6381139076257886
ex0144,1,0.8135183997077765,0.6292822974997543
ex0145,0,0.6314302085543653,0.4061155482134553
ex0146,1,0.9174770755635225,0.5242781440333292
ex0147,0,0.3630785452844966,0.4719661203113058
ex0148,0,0.31244621475880074,0.8315246192897859
ex0149,0,0.12743828087926948,0.8041029458357902
ex0150,1,0.7230206015137381,0.9088219133882534
ex0151,0,0.6184062738840201,0.7903509540363892
ex0152,1,0.8769006727282134,0.6651990039122658
ex0153,1,0.33993139504765585,0.8815376440662739
ex0154,1,0.69779655458699,0.632885279679834
ex0155,1,0.7291469829074272,0.663598648019445
ex0156,1,0.7795463751515217,0.6881587831401326
ex0157,0,0.35826033001074326,0.5014327709870156
ex0158,0,0.6687324403488778,0.4145604222871851
ex0159,0,0.18894435020384068,0.5102106726060708
ex0160,0,0.562499359956638,0.2296861857813488
ex0161,0,0.5535230714877712,0.4035880932898484
ex0162,1,0.8358942340616038,0.965354423880677
ex0163,1,0.8212051357161548,0.7016439891226589
ex0164,0,0.4252690963657393,0.49320496800225294
ex0165,1,0.9046637302855657,0.9070505263211182
ex0166,0,0.7410511175987099,0.7224706657082194
ex0167,1,0.8415367029414721,0.4674639329938504
ex0168,1,0.5563668086385058,0.511165992065278
ex0169,0,0.22395762167864797,0.7467243747220738
ex0170,1,0.5927178331966815,0.6016231164719288
ex0171,0,0.5456592257512834,0.3846540496191034
ex0172,1,0.9431022532071377,0.9464937630053033
ex0173,1,0.8730547736467277,0.6408018198315011
ex0174,0,0.1594084756585066,0.5049427179370002
ex0175,0,0.4367253190871134,0.2247384229685824
ex0176,0,0.39958403450693714,0.7915579211070004
ex0177,1,0.14092402230658968,0.2180731745681054
ex0178,1,0.8831904390270694,0.6358348573205127
ex0179,1,0.7838490724108889,0.7988447876127229
ex0180,0,0.24147876796634168,0.6801911587156378
ex0181,1,0.504880674475433,0.7753837717316975
ex0182,1,0.8393237593724706,0.865711659967483
ex0183,1,0.6878074209247965,0.34579097414421306
ex0184,0,0.5367427346256574,0.6628949364633864
ex0185,1,0.8949098611315753,0.5456431005592922
ex0186,0,0.8423048716762135,0.35051959893076695
ex0187,0,0.28720596919946384,0.5140425197536735
ex0188,0,0.6311035723100805,0.38863477042080763
ex0189,0,0.3735504418660053,0.16374817821843216
ex0190,0,0.5162112687541629,0.5213313047837712
ex0191,0,0.5233637276846863,0.1548742351092513
ex0192,1,0.876088027124883,0.628825809079754
ex0193,0,0.5044472770952512,0.5783699808498974
ex0194,1,0.8724317836730946,0.7518864255424846
ex0195,0,0.26702486982187645,0.809144091303883
ex0196,1,0.5582647986264367,0.5534116432413243
ex0197,0,0.4305857772686069,0.10529252966176199
ex0198,0,0.7577101632028762,0.39592234967427686
ex0199,1,0.8944553588336206,0.4900755300889805
ex0200,0,0.6337916415551632,0.24472870950467276
